商品CD,呼び径1,呼び径2,呼び径3,年号,倉庫部門CD,年月度,現在庫_完成品数,現在庫_出荷予定数,最終更新日,最終更新時刻
asdfasd
KS1ER000     , 450,    ,   ,2023,1,00000000,0,0,20241213,010556
KJRE 000     , 450,    ,   ,2023,3,00000000,1,1,20241213,010456
FFCER000     ,  75,    ,   ,2023,3,00000000,0,0,20241213,010214
GG4D 000     , 300,    ,   ,2023,1,00000000,0,0,20241213,010326
GG4D 000     , 200,    ,   ,2023,1,00000000,0,0,20241213,010326
KS1ER000     , 150,    ,   ,2023,3,00000000,0,0,20241213,010555
KS1ER000     , 200,    ,   ,2023,3,00000000,0,0,20241213,010555
K45E 000     , 350,    ,   ,2023,3,00000000,0,0,20241213,010422
FSPER000     ,  75, 500,   ,2023,1,00000000,0,0,20241213,010247
FSPEA000     ,  75, 500,   ,2023,3,00000000,0,3,20241213,010239
DFH3 LR000   ,  75,    ,   ,2023,1,00000000,0,0,20241213,010133
G45E 000     ,  75,    ,   ,2023,3,00000000,3,0,20241213,010316
GG4E 000     ,  75,    ,   ,2023,3,00000000,0,0,20241213,010326
PRGB 000     ,  75,    ,   ,2023,3,00000000,0,0,20241213,010744
1RG  000     ,  75,    ,   ,2023,3,00000000,0,0,20241213,010047
3UT  000     , M16, 100,   ,2023,3,00000000,0,0,20241213,010102
G90D 000     , 200,    ,   ,2023,1,00000000,0,0,20241213,010318
G05D 000     , 150,    ,   ,2023,1,00000000,0,0,20241213,010308
GFTEA000     ,  75,  75,   ,2023,3,00000000,0,0,20241213,010321
GGUE 000     , 100,  75,   ,2023,3,00000000,3,1,20241213,010337
GJRE 000     ,  75,    ,   ,2023,3,00000000,0,0,20241213,010339
G90E 000     , 100,    ,   ,2023,3,00000000,0,0,20241213,010319
G45E 000     , 100,    ,   ,2023,3,00000000,2,0,20241213,010316
G11E 000     , 100,    ,   ,2023,3,00000000,0,0,20241213,010311
GGTE 000     , 100,  75,   ,2023,3,00000000,0,0,20241213,010333
GFTEA000     , 100,  75,   ,2023,3,00000000,0,0,20241213,010321
GGUE 000     , 150, 100,   ,2023,3,00000000,0,0,20241213,010338
GJRE 000     , 100,    ,   ,2023,3,00000000,0,0,20241213,010340
G90E 000     , 150,    ,   ,2023,3,00000000,0,0,20241213,010319
GFTEA000     , 150,  75,   ,2023,3,00000000,0,0,20241213,010322
KS1NA000     , 400,    ,   ,2022,3,00000000,0,0,20241213,010559
RBAD 000     , 140,  13,   ,2023,3,00000000,0,0,20241213,010746
GGTE 000     , 300, 150,   ,2023,2,00000000,3,4,20241213,010335
G05E 000     , 300,    ,   ,2023,2,00000000,0,0,20241213,010309
GSPE 000     , 300,    ,   ,2023,2,00000000,0,0,20241213,010349
GS1EA000     , 300,    ,   ,2023,2,00000000,4,4,20241213,010344
G22E 000     , 150,    ,   ,2023,2,00000000,0,0,20241213,010314
GG2E 000     , 150,    ,   ,2023,2,00000000,0,0,20241213,010325
GFTEA000     , 300,  75,   ,2023,2,00000000,0,0,20241213,010322
GGHE 000     , 150,    ,   ,2023,2,00000000,0,0,20241213,010329
K45E 000     , 300,    ,   ,2023,2,00000000,0,0,20241213,010422
K22E 000     , 300,    ,   ,2023,2,00000000,6,6,20241213,010412
K11E 000     , 300,    ,   ,2023,2,00000000,0,0,20241213,010402
FFCEA000     , 300,    ,   ,2023,2,00000000,0,0,20241213,010213
G11E 000     , 300,    ,   ,2023,2,00000000,1,0,20241213,010311
GG4E 000     , 300,    ,   ,2023,2,00000000,0,0,20241213,010327
KS1ER000     , 600,    ,   ,2023,1,00000000,0,0,20241213,010557
KS2ER000     , 600,    ,   ,2023,1,00000000,0,0,20241213,010615
KJRE 000     , 600,    ,   ,2023,1,00000000,0,0,20241213,010456
