商品種別,商品CD,呼び径1,呼び径2,呼び径3,品名CD,材質CD,形式CD,操作CD,塗装CD,フランジCD,セットCD,都市CD,商品名_社内用,単重,在庫管理区分,品種区分,最終更新日,最終更新時間
asdfasdf
1,K1SZR903     , 250, 421,   ,K1S       , , , ,Z,R, ,903,F  片ﾌﾗﾝｼﾞ短管 RF 粉外CD KOEM                                                                       ,41,0,22,20241212,093754
1,FSPZR903     , 250, 180,   ,FSP       , , , ,Z,R, ,903,F   ﾌﾗﾝｼﾞ短管 RF 粉外CD KOEM                                                                        ,35.6,0,22,20241212,093024
1,K1SZR903     , 250,1325,   ,K1S       , , , ,Z,R, ,903,F  片ﾌﾗﾝｼﾞ短管 RF 粉外CD KOEM                                                                       ,104,0,22,20241212,093718
1,K1SZR903     , 250,1125,   ,K1S       , , , ,Z,R, ,903,F  片ﾌﾗﾝｼﾞ短管 RF 粉外CD KOEM                                                                       ,90.2,0,22,20241212,093725
1,K1SZR903     , 250, 521,   ,K1S       , , , ,Z,R, ,903,F  片ﾌﾗﾝｼﾞ短管 RF 粉外CD KOEM                                                                       ,48,0,22,20241212,093733
1,K1SZR903     , 250, 775,   ,K1S       , , , ,Z,R, ,903,F  片ﾌﾗﾝｼﾞ短管 RF 粉外CD KOEM                                                                       ,65.7,0,22,20241212,093746
1,K1SZR903     , 250, 685,   ,K1S       , , , ,Z,R, ,903,F  片ﾌﾗﾝｼﾞ短管 RF 粉外CD KOEM                                                                       ,59.4,0,22,20241212,093740
1,K1SZR903     , 150, 195,   ,K1S       , , , ,Z,R, ,903,F  片ﾌﾗﾝｼﾞ短管 RF 粉外CD KOEM                                                                       ,12.5,0,22,20241212,093807
1,FSPZR903     , 150, 750,   ,FSP       , , , ,Z,R, ,903,F   ﾌﾗﾝｼﾞ短管 RF 粉外CD KOEM                                                                        ,36.7,0,22,20241212,093636

(9 行処理されました)
